"","log.AGN.NII.AGN.H_alpha..10.","log.AGN.EW_H_alpha..10."
"42905",0.13759206243147,0.00945089579869393
"25137",0.166821700327236,-0.0222763947111523
"1737",-0.455492252891614,1.20609694470657
"10164",0.202537800335521,-0.30803489723264
"12651",-0.242571096708613,0.986054780769695
"83636",-0.458511566681112,1.43120288455652
"10479",-0.320353270915116,1.07765854908413
"24436",-0.0276448705383611,0.292034435994736
"60939",-0.0775290861294943,0.435844365984441
"12024",-0.483900668108844,0.0835026198302674
"46778",0.199436241367728,0.405004665050369
"69705",-0.210058015269578,0.618152733378519
"35196",-0.199824324065848,0.827756862978617
"91394",-0.185813447721315,0.468642668391511
"13937",-0.556966721568419,1.36153897126928
"10940",-0.179406300540454,0.783188691075258
"49198",-0.453503482851879,1.42818340636194
"45747",-0.0227339365552972,0.563362409486607
"34190",-0.286817008175184,0.973266436108529
"25657",-0.00833914367200418,0.845346137411409
"3655",-0.235436801182135,1.02526489215451
"59472",-0.445464674000367,1.0972225925199
"21718",-0.42567473741922,1.00706465637833
"57238",-0.0744560961216542,0.0588054866759068
"13015",-0.325952558195746,1.35573878360204
"10232",-0.525479366852551,1.5854607295085
"75890",-0.46245752160504,1.58344816654163
"40985",-0.504763943528869,1.45987476929897
"82986",-0.466898273576459,1.43975888286301
"58764",-0.387076472230716,1.09039914925546
"99288",-0.499265948411749,1.5700757053216
"1605",-0.408984670540507,0.908753019184534
"16077",-0.479709147765924,1.22868260971297
"59402",-0.507779995357263,1.54260137775315
"55998",-0.458045978657136,1.29567703401747
"46772",0.237182110713697,0.0700378666077551
"37103",-0.319721280466488,1.05861579701056
"56910",-0.403585131976583,0.728678366850914
"32537",-0.0673667171317362,0.787885350940925
"62645",-0.335682227963445,0.984662306190107
"4476",0.303791562396254,0.236285277448029
"100526",-0.553783279859617,1.29712556152798
"106244",-0.129030530930665,-0.655607726314889
"31138",-0.234206263630449,1.22196165150504
"3144",-0.399701472159942,0.960137674863795
"63151",-0.477992599307725,1.00056421616538
"69019",0.178013156732446,0.250663919463244
"67253",-0.45986814583115,1.2217271301339
"36347",-0.41611746444198,1.6969414618669
"26516",-0.497441421864108,1.50016783879517
"99464",-0.359163218394474,1.65875526406461
"65785",-0.650917573492469,2.16231343487031
"84460",-0.390293701764214,1.59425992112355
"28611",-0.0331981426701909,0.162265614298022
